actual	baseline	metrics	method	inflation	expansion
0.15930735930735931	0.06444032158317872	consistency	mcl	1.4	7
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	8
0.5871366728509586	0.36932591218305505	purity	mcl	1.4	8
0.4056761268781302	0.07929883138564274	purity_90	mcl	1.4	8
0.15955473098330242	0.06444032158317872	consistency	mcl	1.4	8
0.24922941435490972	0.24922941435490972	retention	mcl	1.4	9
0.5871366728509586	0.37291280148423006	purity	mcl	1.4	9
0.4056761268781302	0.07262103505843072	purity_90	mcl	1.4	9
0.15955473098330242	0.061224489795918366	consistency	mcl	1.4	9
0.24930947520115287	0.24930947520115287	retention	mcl	1.5	2
0.6725182346396341	0.38818148102361233	purity	mcl	1.5	2
0.36310299869621904	0.06258148631029987	purity_90	mcl	1.5	2
0.1256026702929905	0.03585115589071579	consistency	mcl	1.5	2
