avg_cluster_size	consistency	t	combo
70	0.2089952227443974	2.4774930477142334	ms + z
75	0.20928651881772634	2.588730812072754	ms + z
80	0.2098691109643842	2.533228635787964	ms + z
85	0.19291567949664037	2.166425943374634	ms + z
90	0.19340117295218862	2.6204419136047363	ms + z
95	0.19371188876373946	2.1235713958740234	ms + z
100	0.19371188876373946	2.472381591796875	ms + z
105	0.21111197421058764	2.2907352447509766	ms + z
110	0.2111508136870315	2.12790846824646	ms + z
115	0.217559327300268	2.501383066177368	ms + z
120	0.20091661164407504	2.1767070293426514	ms + z
125	0.20128558667029167	2.582592248916626	ms + z
130	0.2018293393405057	2.1522927284240723	ms + z
135	0.20190701829339341	2.3486623764038086	ms + z
140	0.20206237619916884	2.083439826965332	ms + z
145	0.20252844991649513	2.238663911819458	ms + z
150	0.2029168446809337	2.110022783279419	ms + z
155	0.2025090301782732	2.268496513366699	ms + z
160	0.20421796714180293	2.129490852355957	ms + z
165	0.20456752242979764	2.0405163764953613	ms + z
170	0.20396551054491785	2.044327735900879	ms + z
175	0.20377131316269856	2.067214250564575	ms + z
180	0.22089952227443974	2.174734592437744	ms + z
185	0.22095778148910553	2.3274779319763184	ms + z
190	0.22163747232687303	2.0756466388702393	ms + z
195	0.2218899289237581	2.320263147354126	ms + z
5	0.12770419854740359	8.531136989593506	ba + he + z
10	0.146949159125335	5.369137287139893	ba + he + z
15	0.14799782498931915	4.725473642349243	ba + he + z
20	0.18122499708703926	4.715096712112427	ba + he + z
25	0.18194352740125064	3.6246135234832764	ba + he + z
30	0.18658484483629162	3.6030900478363037	ba + he + z
35	0.18885695420825727	3.244351863861084	ba + he + z
40	0.19083776750689402	3.5278637409210205	ba + he + z
45	0.19118732279488873	2.870004653930664	ba + he + z
50	0.19118732279488873	2.8835957050323486	ba + he + z
55	0.19169223598865887	2.890509843826294	ba + he + z
60	0.19211947022954132	2.7674131393432617	ba + he + z
65	0.19192527284732203	2.7353274822235107	ba + he + z
70	0.19250786499397987	2.674867868423462	ba + he + z
75	0.19289625975841845	2.966542959213257	ba + he + z
80	0.19295451897308424	2.9977328777313232	ba + he + z
85	0.19503243096283063	2.6353001594543457	ba + he + z
90	0.19307103740241582	2.6099560260772705	ba + he + z
95	0.2118887637394648	2.6989214420318604	ba + he + z
100	0.21111197421058764	2.722184658050537	ba + he + z
105	0.21190818347768672	2.6845591068267822	ba + he + z
110	0.21138385054569464	2.6970150470733643	ba + he + z
115	0.19646949159125335	2.5354127883911133	ba + he + z
120	0.2135782809647726	2.7240631580352783	ba + he + z
125	0.19728512059657435	2.774415969848633	ba + he + z
130	0.2133064046296656	2.7968826293945312	ba + he + z
135	0.21416087311143045	2.523507595062256	ba + he + z
140	0.2228997553112984	2.637315273284912	ba + he + z
145	0.2202586709131161	2.7100636959075928	ba + he + z
150	0.2210742999184371	2.6554622650146484	ba + he + z
155	0.22070532489222044	2.448112726211548	ba + he + z
160	0.2236377053637317	2.5051910877227783	ba + he + z
165	0.2208606827979959	2.608435869216919	ba + he + z
