actual	baseline	metrics	t	method
0.10855397148676171	0.10855397148676171	retention	1.1898744106292725	Greedy
0.6611721611721612	0.49633699633699635	purity	1.1898744106292725	Greedy
0.35233160621761656	0.11917098445595854	purity_90	1.1898744106292725	Greedy
0.20695970695970695	0.13736263736263737	consistency	1.1898744106292725	Greedy
0.10896130346232179	0.10896130346232179	retention	0.8063004016876221	ClusTCR
0.6605839416058394	0.4744525547445255	purity	0.8063004016876221	ClusTCR
0.35051546391752575	0.06701030927835051	purity_90	0.8063004016876221	ClusTCR
0.20802919708029197	0.13138686131386862	consistency	0.8063004016876221	ClusTCR
0.09847131228906095	0.09847131228906095	retention	1.288205862045288	Greedy
0.6484375	0.451171875	purity	1.288205862045288	Greedy
0.329608938547486	0.0893854748603352	purity_90	1.288205862045288	Greedy
0.244140625	0.14453125	consistency	1.288205862045288	Greedy
0.09847131228906095	0.09847131228906095	retention	0.7706480026245117	ClusTCR
0.6484375	0.451171875	purity	0.7706480026245117	ClusTCR
0.329608938547486	0.08379888268156424	purity_90	0.7706480026245117	ClusTCR
0.244140625	0.1484375	consistency	0.7706480026245117	ClusTCR
0.11167611969489537	0.11167611969489537	retention	1.6114678382873535	Greedy
0.660377358490566	0.4648370497427101	purity	1.6114678382873535	Greedy
0.35348837209302325	0.06511627906976744	purity_90	1.6114678382873535	Greedy
0.2006861063464837	0.12521440823327615	consistency	1.6114678382873535	Greedy
0.11167611969489537	0.11167611969489537	retention	0.8324506282806396	ClusTCR
0.660377358490566	0.4734133790737564	purity	0.8324506282806396	ClusTCR
0.35348837209302325	0.08837209302325581	purity_90	0.8324506282806396	ClusTCR
0.19897084048027444	0.13036020583190394	consistency	0.8324506282806396	ClusTCR
0.10297219558964525	0.10297219558964525	retention	1.4002811908721924	Greedy
0.6442831215970962	0.44283121597096187	purity	1.4002811908721924	Greedy
0.34269662921348315	0.07303370786516854	purity_90	1.4002811908721924	Greedy
0.2159709618874773	0.13793103448275862	consistency	1.4002811908721924	Greedy
0.10335570469798658	0.10335570469798658	retention	0.9149892330169678	ClusTCR
0.64376130198915	0.4448462929475588	purity	0.9149892330169678	ClusTCR
0.3407821229050279	0.0782122905027933	purity_90	0.9149892330169678	ClusTCR
0.2115732368896926	0.14285714285714285	consistency	0.9149892330169678	ClusTCR
0.11081794195250659	0.11081794195250659	retention	1.8029742240905762	Greedy
0.6722129783693843	0.4525790349417637	purity	1.8029742240905762	Greedy
0.3781094527363184	0.09950248756218906	purity_90	1.8029742240905762	Greedy
0.2146422628951747	0.12146422628951747	consistency	1.8029742240905762	Greedy
0.11081794195250659	0.11081794195250659	retention	0.873948335647583	ClusTCR
0.6722129783693843	0.4475873544093178	purity	0.873948335647583	ClusTCR
0.3781094527363184	0.08955223880597014	purity_90	0.873948335647583	ClusTCR
0.2146422628951747	0.12479201331114809	consistency	0.873948335647583	ClusTCR
0.11712543875854424	0.11712543875854424	retention	1.4967427253723145	Greedy
0.651702786377709	0.4582043343653251	purity	1.4967427253723145	Greedy
0.3436123348017621	0.06607929515418502	purity_90	1.4967427253723145	Greedy
0.1873065015479876	0.13003095975232198	consistency	1.4967427253723145	Greedy
0.11712543875854424	0.11712543875854424	retention	0.7401046752929688	ClusTCR
0.651702786377709	0.4458204334365325	purity	0.7401046752929688	ClusTCR
0.3436123348017621	0.05286343612334802	purity_90	0.7401046752929688	ClusTCR
0.18575851393188855	0.11455108359133127	consistency	0.7401046752929688	ClusTCR
0.11193759071117562	0.11193759071117562	retention	1.3998801708221436	Greedy
0.6313291139240507	0.4541139240506329	purity	1.3998801708221436	Greedy
0.3285024154589372	0.09178743961352658	purity_90	1.3998801708221436	Greedy
0.22943037974683544	0.1360759493670886	consistency	1.3998801708221436	Greedy
0.11193759071117562	0.11193759071117562	retention	1.0102214813232422	ClusTCR
0.6313291139240507	0.4319620253164557	purity	1.0102214813232422	ClusTCR
0.3285024154589372	0.04830917874396135	purity_90	1.0102214813232422	ClusTCR
0.2231012658227848	0.13291139240506328	consistency	1.0102214813232422	ClusTCR
0.10797786899875067	0.10797786899875067	retention	1.5018579959869385	Greedy
0.639871382636656	0.44212218649517687	purity	1.5018579959869385	Greedy
0.3798076923076923	0.057692307692307696	purity_90	1.5018579959869385	Greedy
0.18488745980707397	0.1270096463022508	consistency	1.5018579959869385	Greedy
0.10869177226485811	0.10869177226485811	retention	0.9051461219787598	ClusTCR
0.6405750798722045	0.4472843450479233	purity	0.9051461219787598	ClusTCR
0.38095238095238093	0.05714285714285714	purity_90	0.9051461219787598	ClusTCR
0.1869009584664537	0.12460063897763578	consistency	0.9051461219787598	ClusTCR
0.1228316103031365	0.1228316103031365	retention	1.4983246326446533	Greedy
0.6267409470752089	0.4582172701949861	purity	1.4983246326446533	Greedy
0.33185840707964603	0.0752212389380531	purity_90	1.4983246326446533	Greedy
0.20334261838440112	0.13370473537604458	consistency	1.4983246326446533	Greedy
