actual	baseline	metrics	n	dm	t
0.6853932584269663	0.46441947565543074	purity	3400	Hamming	0.22805166244506836
0.3978494623655914	0.053763440860215055	purity_90	3400	Hamming	0.22805166244506836
0.24719101123595505	0.18352059925093633	consistency	3400	Hamming	0.22805166244506836
0.08647058823529412	0.08647058823529412	retention	3400	Levenshtein	2.121673345565796
0.6227544910179641	0.44011976047904194	purity	3400	Levenshtein	2.121673345565796
0.3584905660377358	0.07547169811320754	purity_90	3400	Levenshtein	2.121673345565796
0.218562874251497	0.15868263473053892	consistency	3400	Levenshtein	2.121673345565796
0.07542857142857143	0.07542857142857143	retention	3500	Hamming	0.2424309253692627
0.6385135135135135	0.4831081081081081	purity	3500	Hamming	0.2424309253692627
0.3142857142857143	0.09523809523809523	purity_90	3500	Hamming	0.2424309253692627
0.23986486486486486	0.15878378378378377	consistency	3500	Hamming	0.2424309253692627
0.08771428571428572	0.08771428571428572	retention	3500	Levenshtein	2.302187919616699
0.6028985507246377	0.4579710144927536	purity	3500	Levenshtein	2.302187919616699
0.29914529914529914	0.08547008547008547	purity_90	3500	Levenshtein	2.302187919616699
0.22608695652173913	0.1536231884057971	consistency	3500	Levenshtein	2.302187919616699
0.07777777777777778	0.07777777777777778	retention	3600	Hamming	0.25692009925842285
0.6116207951070336	0.4801223241590214	purity	3600	Hamming	0.25692009925842285
0.37735849056603776	0.09433962264150944	purity_90	3600	Hamming	0.25692009925842285
0.23853211009174313	0.18654434250764526	consistency	3600	Hamming	0.25692009925842285
0.09111111111111111	0.09111111111111111	retention	3600	Levenshtein	2.3987181186676025
0.58311345646438	0.42480211081794195	purity	3600	Levenshtein	2.3987181186676025
0.3620689655172414	0.05172413793103448	purity_90	3600	Levenshtein	2.3987181186676025
0.21899736147757257	0.158311345646438	consistency	3600	Levenshtein	2.3987181186676025
0.06837837837837837	0.06837837837837837	retention	3700	Hamming	0.25290751457214355
0.6917808219178082	0.4657534246575342	purity	3700	Hamming	0.25290751457214355
0.47058823529411764	0.10784313725490197	purity_90	3700	Hamming	0.25290751457214355
0.2842465753424658	0.1815068493150685	consistency	3700	Hamming	0.25290751457214355
0.08162162162162162	0.08162162162162162	retention	3700	Levenshtein	2.509826898574829
0.646551724137931	0.45977011494252873	purity	3700	Levenshtein	2.509826898574829
0.41025641025641024	0.06837606837606838	purity_90	3700	Levenshtein	2.509826898574829
0.25	0.16954022988505746	consistency	3700	Levenshtein	2.509826898574829
0.0781578947368421	0.0781578947368421	retention	3800	Hamming	0.2809321880340576
0.622356495468278	0.45317220543806647	purity	3800	Hamming	0.2809321880340576
