actual,baseline,metrics,s_cluster
0.02492836676217765,0.015902578796561605,consistency,19
1.0,1.0,retention,20
0.5240210124164278,0.487774594078319,purity,20
0.03023758099352052,0.016198704103671708,purity_90,20
0.025405921680993315,0.01571155682903534,consistency,20
1.0,1.0,retention,21
0.5231614135625597,0.48825214899713465,purity,21
0.02947845804988662,0.012471655328798186,purity_90,21
0.025835721107927413,0.015950334288443172,consistency,21
1.0,1.0,retention,22
0.5225883476599809,0.4878701050620821,purity,22
0.029691211401425176,0.015439429928741092,purity_90,22
0.026074498567335243,0.01599808978032474,consistency,22
1.0,1.0,retention,23
0.5219197707736389,0.4878701050620821,purity,23
0.02732919254658385,0.014906832298136646,purity_90,23
0.026408787010506207,0.015329512893982808,consistency,23
1.0,1.0,retention,24
0.520916905444126,0.4874880611270296,purity,24
0.028534370946822308,0.01297016861219196,purity_90,24
0.026838586437440307,0.016189111747851002,consistency,24
1.0,1.0,retention,25
0.521251193887297,0.4878223495702006,purity,25
0.02699055330634278,0.012145748987854251,purity_90,25
0.027316141356255968,0.01623686723973257,consistency,25
1.0,1.0,retention,26
0.5212989493791786,0.4873925501432665,purity,26
0.021067415730337078,0.014044943820224719,purity_90,26
0.02822349570200573,0.01566380133715377,consistency,26
1.0,1.0,retention,27
0.5202483285577841,0.4869627507163324,purity,27
0.021865889212827987,0.013119533527696793,purity_90,27
0.027936962750716332,0.01599808978032474,consistency,27
1.0,1.0,retention,28
0.5203438395415473,0.48724928366762177,purity,28
0.018154311649016642,0.01059001512859304,purity_90,28
0.02903533906399236,0.0166189111747851,consistency,28
1.0,1.0,retention,29
0.5210124164278892,0.48758357211079273,purity,29
0.02037617554858934,0.0109717868338558,purity_90,29
0.028701050620821393,0.0164756446991404,consistency,29
1.0,1.0,retention,30
0.5206781279847182,0.4871060171919771,purity,30
0.017828200972447326,0.01620745542949757,purity_90,30
0.02913085004775549,0.017335243553008597,consistency,30
1.0,1.0,retention,31
0.5202483285577841,0.4874880611270296,purity,31
0.01675041876046901,0.011725293132328308,purity_90,31
0.029703915950334288,0.017717287488061128,consistency,31
1.0,1.0,retention,32
0.518720152817574,0.48705826170009553,purity,32
0.01384083044982699,0.010380622837370242,purity_90,32
0.02979942693409742,0.017191977077363897,consistency,32
1.0,1.0,retention,33
0.5184813753581662,0.486676217765043,purity,33
0.017825311942959002,0.008912655971479501,purity_90,33
0.029703915950334288,0.016857688634192933,consistency,33
1.0,1.0,retention,34
