actual	baseline	metrics	method	n	t
0.33502426113806794	0.33502426113806794	purity	Faiss	16500	0.12485980987548828
0.0	0.0	purity_90	Faiss	16500	0.12485980987548828
0.21007940008822232	0.2313078958976621	consistency	Faiss	16500	0.12485980987548828
0.21459660632057023	0.21459660632057023	retention	MCL	16500	3.720120906829834
0.5830782076259393	0.3771221820205956	purity	MCL	16500	3.720120906829834
0.3509485094850949	0.08807588075880758	purity_90	MCL	16500	3.720120906829834
0.1344280545505149	0.06596159198441413	consistency	MCL	16500	3.720120906829834
0.21396581088752917	0.21396581088752917	retention	Two-step	16500	3.7847342491149902
0.5827518838961764	0.3670108847334636	purity	Two-step	16500	3.7847342491149902
0.3510204081632653	0.06938775510204082	purity_90	Two-step	16500	3.7847342491149902
0.13480323751046608	0.06586659224113871	consistency	Two-step	16500	3.7847342491149902
1.0401654238987406	1.0401654238987406	retention	Faiss	16600	0.1357557773590088
0.33062493183553276	0.33062493183553276	purity	Faiss	16600	0.1357557773590088
0.0	0.0	purity_90	Faiss	16600	0.1357557773590088
0.2327952884720253	0.2113643799760061	consistency	Faiss	16600	0.1357557773590088
0.20765712137351963	0.20765712137351963	retention	MCL	16600	4.011975288391113
0.5870062965082999	0.38351459645105895	purity	MCL	16600	4.011975288391113
0.3491048593350384	0.09335038363171355	purity_90	MCL	16600	4.011975288391113
0.14081282198053807	0.06697195191757298	consistency	MCL	16600	4.011975288391113
0.20684253399335797	0.20684253399335797	retention	Two-step	16600	3.756373643875122
0.5876436781609196	0.38275862068965516	purity	Two-step	16600	3.756373643875122
0.34827144686299616	0.0793854033290653	purity_90	Two-step	16600	3.756373643875122
0.14022988505747128	0.06350574712643678	consistency	Two-step	16600	3.756373643875122
1.0399800722381367	1.0399800722381367	retention	Faiss	16700	0.12115073204040527
0.3333333333333333	0.3333333333333333	purity	Faiss	16700	0.12115073204040527
0.0	0.0	purity_90	Faiss	16700	0.12115073204040527
0.23224400871459694	0.21715686274509804	consistency	Faiss	16700	0.12115073204040527
0.21397434300660106	0.21397434300660106	retention	MCL	16700	3.7394163608551025
0.5941828254847645	0.37894736842105264	purity	MCL	16700	3.7394163608551025
0.3888888888888889	0.08010335917312661	purity_90	MCL	16700	3.7394163608551025
0.13462603878116344	0.06897506925207757	consistency	MCL	16700	3.7394163608551025
0.21316477768090672	0.21316477768090672	retention	Two-step	16700	3.665422201156616
0.5943842090631082	0.37920489296636084	purity	Two-step	16700	3.665422201156616
0.39040207522697795	0.07522697795071336	purity_90	Two-step	16700	3.665422201156616
0.13539060328051153	0.06366416458159578	consistency	Two-step	16700	3.665422201156616
1.0412792859799183	1.0412792859799183	retention	Faiss	16800	0.12156820297241211
0.32777658662092624	0.32777658662092624	purity	Faiss	16800	0.12156820297241211
0.0	0.0	purity_90	Faiss	16800	0.12156820297241211
0.1892688679245283	0.2035270154373928	consistency	Faiss	16800	0.12156820297241211
0.21054915086153464	0.21054915086153464	retention	MCL	16800	3.996600389480591
0.6003316749585407	0.380873410724157	purity	MCL	16800	3.996600389480591
0.38748495788206977	0.06979542719614922	purity_90	MCL	16800	3.996600389480591
0.1312880044223328	0.06025428413488115	consistency	MCL	16800	3.996600389480591
0.20683029626874921	0.20683029626874921	retention	Two-step	16800	3.9950897693634033
0.6042194092827005	0.380028129395218	purity	Two-step	16800	3.9950897693634033
0.3863912515188335	0.07776427703523693	purity_90	Two-step	16800	3.9950897693634033
0.13164556962025317	0.06188466947960619	consistency	Two-step	16800	3.9950897693634033
1.0419877920956901	1.0419877920956901	retention	Faiss	16900	0.12292695045471191
0.32875837855090967	0.32875837855090967	purity	Faiss	16900	0.12292695045471191
0.0	0.0	purity_90	Faiss	16900	0.12292695045471191
0.23630173422704542	0.2191722523672731	consistency	Faiss	16900	0.12292695045471191
0.20383500832357113	0.20383500832357113	retention	MCL	16900	3.7597317695617676
0.5920341394025604	0.36955903271692747	purity	MCL	16900	3.7597317695617676
0.3595360824742268	0.06958762886597938	purity_90	MCL	16900	3.7597317695617676
0.13513513513513514	0.061450924608819346	consistency	MCL	16900	3.7597317695617676
0.20278685492323817	0.20278685492323817	retention	Two-step	16900	3.776529312133789
0.5913640263082642	0.3748927652273377	purity	Two-step	16900	3.776529312133789
0.3595360824742268	0.06958762886597938	purity_90	Two-step	16900	3.776529312133789
