avg_cluster_size	purity	t	combo
100	0.5572105488018021	3.15168833732605	ba + he + ms + z
105	0.5557929079116013	3.894090414047241	ba + he + ms + z
110	0.556161882937818	3.143075466156006	ba + he + ms + z
115	0.5527828484872024	3.27846360206604	ba + he + ms + z
120	0.5552685749796092	3.172416925430298	ba + he + ms + z
125	0.5545888841418418	3.1608798503875732	ba + he + ms + z
130	0.55396745251874	3.288818120956421	ba + he + ms + z
135	0.5530158853458655	2.982856035232544	ba + he + ms + z
140	0.5524332931992076	3.1229565143585205	ba + he + ms + z
145	0.549598011418806	3.0948307514190674	ba + he + ms + z
150	0.5512098496912262	3.024771213531494	ba + he + ms + z
155	0.5473453217850623	3.081970691680908	ba + he + ms + z
160	0.5484328271254904	3.079653024673462	ba + he + ms + z
165	0.5487823824134851	3.0620338916778564	ba + he + ms + z
170	0.5484328271254904	3.240438938140869	ba + he + ms + z
175	0.5468404085912922	3.2257158756256104	ba + he + ms + z
180	0.5465685322561852	2.965057373046875	ba + he + ms + z
185	0.5463160756593001	3.2708191871643066	ba + he + ms + z
190	0.5406066726220531	3.340754985809326	ba + he + ms + z
195	0.5322561851866237	3.27968430519104	ba + he + ms + z
5	0.6296850118460403	30.188482522964478	ba + he + ms + pI + z
10	0.5993708004816095	27.448625326156616	ba + he + ms + pI + z
15	0.5905348195906319	26.053532361984253	ba + he + ms + pI + z
20	0.5836602322600691	26.430286169052124	ba + he + ms + pI + z
25	0.5777177923641589	26.10288143157959	ba + he + ms + pI + z
30	0.5755622014215248	25.20927858352661	ba + he + ms + pI + z
35	0.5724550433060163	24.10434651374817	ba + he + ms + pI + z
40	0.5707655260807084	24.405726194381714	ba + he + ms + pI + z
45	0.5689594904260691	23.82679796218872	ba + he + ms + pI + z
50	0.5666097021012156	24.365087270736694	ba + he + ms + pI + z
55	0.5626674952421641	24.903504371643066	ba + he + ms + pI + z
60	0.5630364702683808	24.349791765213013	ba + he + ms + pI + z
65	0.5618712859750651	24.823657035827637	ba + he + ms + pI + z
70	0.5619683846661747	23.789971828460693	ba + he + ms + pI + z
75	0.5603953858701984	24.142274379730225	ba + he + ms + pI + z
80	0.55890006602711	23.785200595855713	ba + he + ms + pI + z
85	0.5584339923097836	24.25800848007202	ba + he + ms + pI + z
